['LD', 'SECOND']
['ST', 'TEMP']
['ADD', 'FIRST']
['ST', 'SECOND']
['DIV', '#2']
['MUL', '#2']
['CMP', 'SECOND']
['JNZ', '.GO']
['LD', 'RESULT']
['ADD', 'SECOND']
['ST', 'RESULT']
['LD', 'TEMP']
['ST', 'FIRST']
['LD', 'SECOND']
['CMP', 'LIMIT']
['JS', '.LOOP']
['LD', 'RESULT']
['SUB', 'SECOND']
['HLT']
DEBUG:root:{ Tick:676, BR:0, AC:798, SP:256, PS:2, IP:10, AR:10 }  ADD SECOND
DEBUG:root:{ Tick:679, BR:0, AC:798, SP:256, PS:2, IP:11, AR:11 }  ST RESULT
DEBUG:root:{ Tick:684, BR:0, AC:377, SP:256, PS:2, IP:12, AR:12 }  LD TEMP
DEBUG:root:{ Tick:687, BR:0, AC:377, SP:256, PS:2, IP:13, AR:13 }  ST FIRST
DEBUG:root:{ Tick:692, BR:0, AC:610, SP:256, PS:2, IP:14, AR:14 }  LD SECOND
DEBUG:root:{ Tick:697, BR:0, AC:610, SP:256, PS:1, IP:15, AR:15 }  CMP LIMIT
DEBUG:root:{ Tick:700, BR:0, AC:610, SP:256, PS:1, IP:0, AR:0 }  JS .LOOP
DEBUG:root:{ Tick:705, BR:0, AC:610, SP:256, PS:1, IP:1, AR:1 }  LD SECOND
DEBUG:root:{ Tick:708, BR:0, AC:610, SP:256, PS:1, IP:2, AR:2 }  ST TEMP
DEBUG:root:{ Tick:714, BR:0, AC:987, SP:256, PS:1, IP:3, AR:3 }  ADD FIRST
DEBUG:root:{ Tick:717, BR:0, AC:987, SP:256, PS:1, IP:4, AR:4 }  ST SECOND
DEBUG:root:{ Tick:721, BR:0, AC:493, SP:256, PS:1, IP:5, AR:5 }  DIV #2
DEBUG:root:{ Tick:725, BR:0, AC:986, SP:256, PS:1, IP:6, AR:6 }  MUL #2
DEBUG:root:{ Tick:730, BR:0, AC:986, SP:256, PS:1, IP:7, AR:7 }  CMP SECOND
DEBUG:root:{ Tick:733, BR:0, AC:986, SP:256, PS:1, IP:11, AR:11 }  JNZ .GO
DEBUG:root:{ Tick:738, BR:0, AC:610, SP:256, PS:1, IP:12, AR:12 }  LD TEMP
DEBUG:root:{ Tick:741, BR:0, AC:610, SP:256, PS:1, IP:13, AR:13 }  ST FIRST
DEBUG:root:{ Tick:746, BR:0, AC:987, SP:256, PS:1, IP:14, AR:14 }  LD SECOND
DEBUG:root:{ Tick:751, BR:0, AC:987, SP:256, PS:1, IP:15, AR:15 }  CMP LIMIT
DEBUG:root:{ Tick:754, BR:0, AC:987, SP:256, PS:1, IP:0, AR:0 }  JS .LOOP
DEBUG:root:{ Tick:759, BR:0, AC:987, SP:256, PS:1, IP:1, AR:1 }  LD SECOND
DEBUG:root:{ Tick:762, BR:0, AC:987, SP:256, PS:1, IP:2, AR:2 }  ST TEMP
DEBUG:root:{ Tick:768, BR:0, AC:1597, SP:256, PS:1, IP:3, AR:3 }  ADD FIRST
DEBUG:root:{ Tick:771, BR:0, AC:1597, SP:256, PS:1, IP:4, AR:4 }  ST SECOND
DEBUG:root:{ Tick:775, BR:0, AC:798, SP:256, PS:1, IP:5, AR:5 }  DIV #2
